impl,input_size,input_bytes,avg_latency,throughput
nccl,256,1024,4.879,209.869
nccl,512,2048,5.150,397.682
nccl,1024,4096,4.845,845.466
nccl,2048,8192,4.845,1690.932
nccl,4096,16384,4.895,3347.271
nccl,8192,32768,5.054,6482.970
nccl,16384,65536,5.105,12838.763
nccl,32768,131072,5.245,24988.901
nccl,65536,262144,5.585,46937.529
nccl,131072,524288,5.940,88261.018
nccl,262144,1048576,5.884,178202.857
nccl,524288,2097152,5.779,362875.125
nccl,1048576,4194304,6.086,689213.949
nccl,2097152,8388608,5.730,1463880.678
nccl,4194304,16777216,5.610,2990596.863
nccl,8388608,33554432,5.730,5855522.711
nccl,16777216,67108864,6.330,10601694.038
nccl,33554432,134217728,5.230,25664461.063
nccl,67108864,268435456,5.265,50980299.155
nccl,134217728,536870912,5.180,103650164.036
nccl,268435456,1073741824,5.245,204709073.971
nccl,536870912,2147483648,8.205,261723064.209
nccl,1073741824,4294967296,5.140,835547240.700
naive,256,1024,238.935,4.286
naive,512,2048,239.025,8.568
naive,1024,4096,240.670,17.019
naive,2048,8192,250.885,32.652
naive,4096,16384,238.941,68.569
naive,8192,32768,256.165,127.917
naive,16384,65536,264.260,247.999
naive,32768,131072,267.689,489.642
naive,65536,262144,272.555,961.801
naive,131072,524288,290.675,1803.690
naive,262144,1048576,1957.905,535.560
naive,524288,2097152,2015.560,1040.481
naive,1048576,4194304,2206.650,1900.757
naive,2097152,8388608,2187.840,3834.197
naive,4194304,16777216,2574.719,6516.134
naive,8388608,33554432,3021.865,11103.882
naive,16777216,67108864,3877.175,17308.702
naive,33554432,134217728,5091.925,26358.938
naive,67108864,268435456,8047.096,33358.055
naive,134217728,536870912,13932.710,38533.130
naive,268435456,1073741824,26091.840,41152.399
naive,536870912,2147483648,50494.705,42528.888
naive,1073741824,4294967296,97570.515,44019.111
pipelined,256,1024,922.916,1.110
pipelined,512,2048,896.715,2.284
pipelined,1024,4096,957.375,4.278
pipelined,2048,8192,863.425,9.488
pipelined,4096,16384,795.230,20.603
pipelined,8192,32768,801.470,40.885
pipelined,16384,65536,822.160,79.712
pipelined,32768,131072,834.171,157.129
pipelined,65536,262144,873.411,300.138
pipelined,131072,524288,968.885,541.125
pipelined,262144,1048576,2643.130,396.718
pipelined,524288,2097152,2705.870,775.038
pipelined,1048576,4194304,2994.285,1400.770
pipelined,2097152,8388608,3385.741,2477.629
pipelined,4194304,16777216,3555.684,4718.421
pipelined,8388608,33554432,4188.745,8010.617
pipelined,16777216,67108864,6835.531,9817.652
pipelined,33554432,134217728,9196.866,14593.856
pipelined,67108864,268435456,12396.840,21653.539
pipelined,134217728,536870912,18547.895,28945.113
pipelined,268435456,1073741824,29900.750,35910.197
pipelined,536870912,2147483648,52268.230,41085.831
pipelined,1073741824,4294967296,99683.875,43085.878
