impl,input_size,input_bytes,avg_latency,std_latency,min_latency,max_latency,throughput
NCCL,256,1024,4.955,0.321,4.000,6.000,206.660
NCCL,512,2048,5.395,1.200,5.000,21.000,379.611
NCCL,1024,4096,5.055,1.128,4.000,16.000,810.287
NCCL,2048,8192,5.355,1.571,4.000,20.000,1529.785
NCCL,4096,16384,5.030,0.888,4.000,17.000,3257.256
NCCL,8192,32768,5.025,1.037,4.000,19.000,6520.995
NCCL,16384,65536,5.195,1.630,4.000,21.000,12615.207
NCCL,32768,131072,5.330,1.323,5.000,23.000,24591.370
NCCL,65536,262144,5.700,1.200,5.000,20.000,45990.175
NCCL,131072,524288,5.970,1.241,5.000,18.000,87820.436
NCCL,262144,1048576,5.920,1.861,5.000,27.000,177124.324
NCCL,524288,2097152,6.095,4.537,5.000,69.000,344077.441
NCCL,1048576,4194304,5.980,6.651,5.000,72.000,701388.629
NCCL,2097152,8388608,5.260,0.461,5.000,7.000,1594792.395
NCCL,4194304,16777216,17.890,128.233,5.000,1766.000,937798.547
NCCL,8388608,33554432,5.240,0.658,5.000,12.000,6403517.557
NCCL,16777216,67108864,5.685,0.553,5.000,8.000,11804549.516
NCCL,33554432,134217728,5.200,0.648,5.000,12.000,25811101.538
NCCL,67108864,268435456,5.190,0.603,5.000,12.000,51721667.823
NCCL,134217728,536870912,5.140,0.347,5.000,6.000,104449593.774
NCCL,268435456,1073741824,5.125,0.373,5.000,7.000,209510599.805
NCCL,536870912,2147483648,5.605,0.519,5.000,7.000,383137136.128
NCCL,1073741824,4294967296,5.725,0.714,5.000,10.000,750212628.122
Classic,256,1024,233.785,55.505,118.000,369.000,4.380
Classic,512,2048,232.715,36.774,156.000,318.000,8.800
Classic,1024,4096,234.205,61.914,106.000,371.000,17.489
Classic,2048,8192,243.710,61.160,100.000,388.000,33.614
Classic,4096,16384,238.595,41.017,123.000,328.000,68.669
Classic,8192,32768,257.815,33.735,184.000,352.000,127.099
Classic,16384,65536,245.950,64.921,123.000,375.000,266.461
Classic,32768,131072,258.040,47.363,155.000,387.000,507.952
Classic,65536,262144,254.430,39.348,175.000,346.000,1030.319
Classic,131072,524288,272.475,40.348,156.000,425.000,1924.169
Classic,262144,1048576,1931.315,723.183,1027.000,9672.000,542.934
Classic,524288,2097152,2001.550,936.611,1743.000,15157.000,1047.764
Classic,1048576,4194304,2016.060,1046.398,1689.000,16477.000,2080.446
Classic,2097152,8388608,2187.030,962.000,1467.000,11794.000,3835.616
Classic,4194304,16777216,2528.050,1433.715,1658.000,15513.000,6636.426
Classic,8388608,33554432,2962.410,1459.567,2179.000,18868.000,11326.735
Classic,16777216,67108864,3814.765,1175.487,2992.000,15537.000,17591.874
Classic,33554432,134217728,5257.385,1600.750,4070.000,18281.000,25529.370
Classic,67108864,268435456,8071.385,1686.663,6860.000,18791.000,33257.670
Classic,134217728,536870912,14095.405,2591.686,12111.000,37895.000,38088.364
Classic,268435456,1073741824,26398.445,3231.566,23357.000,39037.000,40674.435
Classic,536870912,2147483648,50325.245,4805.807,46434.000,101723.000,42672.095
Classic,1073741824,4294967296,97386.440,2751.398,92371.000,109035.000,44102.313
Async,256,1024,531.800,74.960,408.000,759.000,1.926
Async,512,2048,523.945,70.370,372.000,733.000,3.909
Async,1024,4096,426.875,58.755,248.000,583.000,9.595
Async,2048,8192,433.105,86.970,198.000,634.000,18.915
Async,4096,16384,408.905,58.484,295.000,575.000,40.068
Async,8192,32768,428.345,94.385,193.000,649.000,76.499
Async,16384,65536,450.205,73.693,249.000,685.000,145.569
Async,32768,131072,460.225,87.741,225.000,702.000,284.800
Async,65536,262144,462.100,94.755,235.000,689.000,567.288
Async,131072,524288,474.225,85.925,269.000,673.000,1105.568
Async,262144,1048576,2205.210,1125.500,1122.000,16288.000,475.499
Async,524288,2097152,2206.265,889.578,762.000,12091.000,950.544
Async,1048576,4194304,2494.660,1669.418,1279.000,20600.000,1681.313
Async,2097152,8388608,2653.775,1533.047,1042.000,22113.000,3161.010
Async,4194304,16777216,4698.395,2213.281,3488.000,24658.000,3570.840
Async,8388608,33554432,5336.495,2155.143,4085.000,23463.000,6287.729
Async,16777216,67108864,6169.780,2418.090,4811.000,21722.000,10877.027
Async,33554432,134217728,7566.170,1866.606,6563.000,20913.000,17739.190
Async,67108864,268435456,10530.590,2002.003,9258.000,24028.000,25491.018
Async,134217728,536870912,16471.280,2872.439,14594.000,33852.000,32594.365
Async,268435456,1073741824,28169.140,4106.378,25563.000,64210.000,38117.664
Async,536870912,2147483648,52756.080,4801.008,48735.000,68226.000,40705.899
Async,1073741824,4294967296,100587.095,4792.763,96257.000,136716.000,42698.989
